AUC,Accuracy,Business Score,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features
0.6569704222880008,0.8623003848520273,4373.6,50,5,8,5,log2
0.6569704222880008,0.8623003848520273,4373.6,50,5,8,5,log2
0.6569704222880008,0.8623003848520273,4373.6,50,5,8,5,log2
0.6569704222880008,0.8623003848520273,4373.6,50,5,8,5,log2
0.6631860487471524,0.8662749321334934,4394.4,100,5,8,5,log2
0.6597379310119987,0.8768846592021242,4448.6,50,6,10,3,log2
0.6601160920478046,0.8759977331432202,4450.4,50,6,4,2,log2
0.6733997459277666,0.8818448974896892,4470.6,150,6,6,4,sqrt
0.6693074768283941,0.8816477344704449,4482.6,50,6,4,1,sqrt
0.6690224353869683,0.8825347144815764,4484.4,50,6,10,1,sqrt
0.6716042519318723,0.8884474577602617,4533.0,100,7,4,2,log2
0.6744243031678921,0.8898599378599826,4546.0,100,7,2,3,log2
0.6898314439859099,0.9043131352739877,4645.2,150,9,4,3,sqrt
0.6901201702726008,0.9043788167154359,4653.8,100,9,10,2,sqrt
0.6801437412711613,0.903097721079502,4658.0,100,9,4,3,log2
