AUC,Accuracy,Business Score
0.6845086021374998,0.7983739837398374,408.4
0.6821403112118859,0.7967479674796749,411.2
0.6881617005037106,0.791219512195122,405.6
0.6849372007522795,0.7931707317073171,411.6
0.6818367742606597,0.7983739837398374,412.0
0.6915376379014033,0.7915447154471545,398.2
0.6837137703250411,0.7986991869918698,408.2
0.6877855250671518,0.7905691056910569,406.0
0.6892652032488157,0.7892682926829268,397.8
0.6843336199585058,0.7902439024390244,415.2
0.6953403318887204,0.7804878048780488,394.2
0.6916336248724451,0.7808130081300814,388.6
0.6979638188581665,0.7811382113821139,379.4
0.6884344151870072,0.7980487804878049,403.2
0.693372913219198,0.7847154471544716,386.2
