AUC,Accuracy,Business Score,Strategy
0.5,0.9192589488940763,4916.0,prior
0.5,0.9192589488940763,4916.0,uniform
0.5,0.9192589488940763,4916.0,prior
0.5,0.9192589488940763,4916.0,most_frequent
0.5,0.9192589488940763,4916.0,prior
0.5,0.9192589488940763,4916.0,most_frequent
0.5,0.9192589488940763,4916.0,constant
0.5,0.9192589488940763,4916.0,uniform
0.5,0.9192589488940763,4916.0,prior
0.5,0.9192589488940763,4916.0,prior
0.5,0.9192589488940763,4916.0,uniform
0.5,0.9192589488940763,4916.0,uniform
0.49131786465141325,0.8490620944815719,5057.2,stratified
0.49131786465141325,0.8490620944815719,5057.2,stratified
0.5,0.08074105110592354,5597.0,constant
