AUC,Accuracy,Business Score,num_leaves,max_depth,learning_rate,n_estimators,subsample,colsample_bytree
0.6739353376175756,0.8585556039207299,4389.2,33,3,0.008614853094084357,111,0.7447111633834929,0.6785358854900897
0.7468563392951678,0.9193903495435318,4674.0,43,18,0.09781152205055267,188,0.7330816394988542,0.9470582337200415
0.6908457978982232,0.9027363490614148,4678.2,33,5,0.00851822222921757,146,0.8048018025178756,0.7427952755405192
0.6660426033375145,0.8926189144855039,4696.6,32,17,0.0012633559917141913,206,0.897181517492811,0.9257898632404149
0.753068545242822,0.9184377312527341,4737.4,43,7,0.08959456713522995,169,0.7455916669591676,0.7222371914739577
0.6989346085918486,0.9077950555589245,4737.4,38,3,0.03729525682167456,102,0.7085888366513262,0.6244779838676395
0.7534815663851655,0.9179450449087548,4738.6,43,10,0.09827509920152115,101,0.6043472695889021,0.6667825442801172
0.7582466692074068,0.9192918058004687,4770.0,37,17,0.011702820891930112,666,0.661406279126999,0.9968400789073812
0.6931836847423718,0.9104557096455144,4791.4,33,8,0.002006794801367102,548,0.7570465731634133,0.8455055754084673
0.6883734974810827,0.9098643878396858,4798.6,37,11,0.004329181205415804,231,0.8433795750524642,0.9996352932309036
0.7550267425156363,0.9192918219861369,4811.4,30,20,0.025352097624026505,264,0.8837465107338346,0.7924389399117774
0.6951197979421437,0.9133134458230078,4813.6,49,19,0.001273692112719864,837,0.6499575756800323,0.8556438953382792
0.6991001335244974,0.9151858039173202,4823.8,47,15,0.002737125765875276,470,0.8154387140315463,0.8754352255035204
0.7311133383881285,0.918372028230395,4860.2,48,14,0.008045111635761583,359,0.9536333550706754,0.925753876312861
0.7213944419220564,0.9184706097400172,4868.6,42,13,0.01830076663756659,137,0.7010897660364253,0.6027417539357465
