AUC,Accuracy,Score_métier,strategy,constant_value
0.5,0.9192589488940763,4916.0,constant,0.0
0.5,0.9192589488940763,4916.0,most_frequent,
0.5,0.9192589488940763,4916.0,constant,0.0
0.49131786465141325,0.8490620944815719,5057.2,stratified,
0.49131786465141325,0.8490620944815719,5057.2,stratified,
